"name","url","ownership","language","archived","updated_at","description","card"
"agent-sprite-forge","https://github.com/zhaosenlin12-creator/agent-sprite-forge","fork/reference",,"False","2026-07-16","Agent Skill for generating 2D sprite sheets and map, transparent PNG frames, and animated GIFs from prompts.","20_Projects/agent-sprite-forge.md"
"airi","https://github.com/zhaosenlin12-creator/airi","own","TypeScript","False","2026-07-04","airi","20_Projects/airi.md"
"ai-website-cloner-template","https://github.com/zhaosenlin12-creator/ai-website-cloner-template","fork/reference",,"False","2026-07-02","Clone any website with one command using AI coding agents","20_Projects/ai-website-cloner-template.md"
"andrej-karpathy-skills","https://github.com/zhaosenlin12-creator/andrej-karpathy-skills","fork/reference",,"False","2026-07-06","A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.","20_Projects/andrej-karpathy-skills.md"
"animal-island-ui","https://github.com/zhaosenlin12-creator/animal-island-ui","fork/reference",,"False","2026-07-02","Animal 风格的 React 组件库 灵感来源于任天堂《集合啦！动物森友会》 Vue 版同步发布 Animal Crossing-style React UI component library, inspired by Nintendo's game visuals Vue version available. ","20_Projects/animal-island-ui.md"
"animal-world-cup","https://github.com/zhaosenlin12-creator/animal-world-cup","fork/reference","HTML","False","2026-07-24","Animal World Cup game","20_Projects/animal-world-cup.md"
"build-your-own-x","https://github.com/zhaosenlin12-creator/build-your-own-x","fork/reference",,"False","2026-07-08","Master programming by recreating your favorite technologies from scratch.","20_Projects/build-your-own-x.md"
"camp-pk-system","https://github.com/zhaosenlin12-creator/camp-pk-system","own","JavaScript","False","2026-05-13","camp-pk-system","20_Projects/camp-pk-system.md"
"CLI-Anything","https://github.com/zhaosenlin12-creator/CLI-Anything","fork/reference",,"False","2026-07-23","""CLI-Anything: Making ALL Software Agent-Native"" -- CLI-Hub: https://clianything.cc/","20_Projects/CLI-Anything.md"
"Codex-Dream-Skin","https://github.com/zhaosenlin12-creator/Codex-Dream-Skin","fork/reference",,"False","2026-07-22","Codex Dream Skin","20_Projects/Codex-Dream-Skin.md"
"Cowart","https://github.com/zhaosenlin12-creator/Cowart","fork/reference",,"False","2026-07-20",,"20_Projects/Cowart.md"
