path,folder,title,type,status,domain,audience,summary,next_action,updated_at,tags
C:\my_know\00_Home\最终验收.md,00_Home,个人知识库最终验收,audit,active,"knowledge,profile",self,,,2026-07-27,"audit,acceptance"
C:\my_know\00_Home\本周最重要的事.md,00_Home,本周最重要的事,focus,active,self,,,,2026-07-27,
C:\my_know\00_Home\使用说明.md,00_Home,知识库使用说明,guide,active,workflow,self,,,2026-07-27,"guide,workflow,obsidian"
C:\my_know\10_Profile\我在哪.md,10_Profile,我在哪,profile,active,profile,self,,,2026-07-27,"profile,status"
C:\my_know\10_Profile\我是谁.md,10_Profile,我是谁,profile,active,profile,self,,,2026-07-27,profile
C:\my_know\10_Profile\我要去哪.md,10_Profile,我要去哪,profile,active,profile,self,,,2026-07-27,"profile,goal"
C:\my_know\10_Profile\能力地图.md,10_Profile,能力地图,profile,active,profile,self,,,2026-07-27,"profile,skills"
C:\my_know\20_Projects\CLI-Anything.md,20_Projects,CLI-Anything（CLI Hub）,project,trial,"ai,tooling",dev,让所有软件 Agent-Native 的命令行工具层,找一个本地工具验证,2026-07-27,"ai,cli,agent"
C:\my_know\20_Projects\Codex-Dream-Skin.md,20_Projects,Codex-Dream-Skin,project,trial,ai,dev,自定义 Codex 客户端皮肤,与 Codex Plus 等组合用,2026-07-27,"ai,tooling,skin"
C:\my_know\20_Projects\Cowart.md,20_Projects,Cowart,project,evaluate,"ai,canvas,design",self,面向 Codex 的 tldraw 无限画布插件,完成一次真实画布任务后决定是否转 active,2026-07-27,"github,inventory"
C:\my_know\20_Projects\Echo-Loop.md,20_Projects,Echo-Loop（AI 英语听说训练）,project,trial,ai,"student,parent",AI 英语听说训练 App（盲听 / 精听 / 跟读 / 复述 / 间隔复习）,路线对齐：教学产品线 or 独立项目,2026-07-27,"ai,education,audio"
C:\my_know\20_Projects\GPT-SoVITS.md,20_Projects,GPT-SoVITS,project,trial,"ai,audio",maker,1-min 语音数据即可训练 TTS（少样本克隆）,接入 Echo-Loop + 抖音声音克隆样本,2026-07-27,"ai,audio,tts"
C:\my_know\20_Projects\MotionSites-Prompts.md,20_Projects,MotionSites-Prompts,project,active,"ai,web","maker,dev",MotionSites 复刻提示词合集（按站点分目录）,每周补 1 个高质量复刻,2026-07-27,"ai,prompt,resource"
C:\my_know\20_Projects\NASA-3D-Resources.md,20_Projects,NASA-3D-Resources,project,hold,"assets,3d,education",self,NASA 公开 3D 模型、纹理和图像资源集合,按课程需求只取所需资产并记录使用指南,2026-07-27,"github,inventory"
C:\my_know\20_Projects\Scrapling.md,20_Projects,Scrapling,project,active,"crawling,python,ai",self,自适应网页抓取框架与本地工具仓,增加增量更新、内容哈希和失败重试,2026-07-27,"github,inventory"
C:\my_know\20_Projects\agent-sprite-forge.md,20_Projects,agent-sprite-forge,project,active,"ai,game","game-dev,maker",2D sprite sheet / 地图 / 透明 PNG / 动图 生成 Skill,与 30_Teaching 项目衔接,2026-07-27,"ai,game,sprite,skill"
C:\my_know\20_Projects\ai-website-cloner-template.md,20_Projects,ai-website-cloner-template,project,evaluate,"ai,web",self,用 AI Agent 复刻网站的 Next.js 模板与工作流,选择有授权页面做一次复刻并记录版权边界,2026-07-27,"github,inventory"
C:\my_know\20_Projects\airi.md,20_Projects,airi,project,active,"ai,system","maker,dev",AI Stage Web / Tamagotchi，垂直探索型 agent 研究场,聚焦一个子模块落地,2026-07-27,"ai,monorepo,exploration"
C:\my_know\20_Projects\andrej-karpathy-skills.md,20_Projects,andrej-karpathy-skills（CLAUDE.md 中文版）,project,active,ai,dev,Karpathy CLAUDE.md 中文版（含 Cursor 章节）,给需要参考的人与 Codex 群共享,2026-07-27,"ai,prompt,resource"
C:\my_know\20_Projects\animal-island-ui.md,20_Projects,animal-island-ui,project,evaluate,"web,design,ui",self,动物森友会风格 React 组件库参考仓,在教学原型中试用三个组件并检查可访问性,2026-07-27,"github,inventory"
C:\my_know\20_Projects\animal-world-cup.md,20_Projects,animal-world-cup（动物世界杯）,project,active,"game,html",student,动物世界杯 HTML 游戏,与 soccer-game / soccer-game-landscape 合并；做抖音入口视频,2026-07-27,"game,html,student"
C:\my_know\20_Projects\build-your-own-x.md,20_Projects,build-your-own-x,project,evaluate,"learning,computer-science",self,从零重建技术系统的高质量教程索引,选一个两周内能完成的教程并产出教学复盘,2026-07-27,"github,inventory"
C:\my_know\20_Projects\camp-pk-system.md,20_Projects,camp-pk-system,project,active,"teaching,game,system",self,编程创赛营积分 PK 与课堂互动系统,补齐当前部署状态、真实班级数据与课后复盘,2026-07-27,"github,inventory"
C:\my_know\20_Projects\codebn-system.md,20_Projects,codebn-system（乐启享机构系统）,project,active,system,"teacher,manager,parent",乐启享机构系统（Web 后台 + 微信小程序 + 教务 + 部署运维）,生产部署重构 + 学员变动同步稳定化,2026-07-27,"system,prisma,next,ops"
C:\my_know\20_Projects\firecrawl.md,20_Projects,firecrawl,project,evaluate,"ai,crawling,research",self,搜索、抓取和网页交互平台的本地研究副本,与 Scrapling 做同站速度、质量和成本对照,2026-07-27,"github,inventory"
C:\my_know\20_Projects\gaokao_design.md,20_Projects,gaokao_design（高考志愿地图）,project,active,web,"parent,student",高考志愿地图（Vite + React + MapLibre GL），全国 1500+ 大学,接入校情 / 分数段 / 选科推荐,2026-07-27,"web,education,mapping"
C:\my_know\20_Projects\godogen.md,20_Projects,godogen,project,evaluate,"ai,game",self,用 Claude Code / Codex 自动生成 Godot、Bevy、Babylon.js 游戏的框架,用一个最小游戏做端到端验证并录屏,2026-07-27,"github,inventory"
C:\my_know\20_Projects\gsap-skills.md,20_Projects,gsap-skills,project,active,"ai,animation","frontend,dev",GSAP 官方 AI skills 集（最佳实践 / 模式 / 插件用法）,接入个人站 + 学员作品,2026-07-27,"ai,animation,frontend"
C:\my_know\20_Projects\img2threejs.md,20_Projects,img2threejs,project,active,"ai,3d","student,maker,teacher",图生 3D 程序化建模（Codex 友好 / 动画就绪 / 质量门控）,把它包装为直播 hook；考虑商业授权,2026-07-27,"ai,3d,procedural,prompt"
C:\my_know\20_Projects\my_edu.md,20_Projects,my_edu,project,active,"knowledge,obsidian",self,森林个人知识库与可复用的学习骨架,连续使用 12 周并完成一次结构复盘,2026-07-27,"github,knowledge,obsidian"
C:\my_know\20_Projects\patent-disclosure-skill.md,20_Projects,patent-disclosure-skill,project,active,ai,"maker,entrepreneur",专利撰写 skill（挖点·查新·脱敏成文 + 通俗解读）,与代码项目 idea 流程挂钩,2026-07-27,"ai,patent,legal"
C:\my_know\20_Projects\pentagi.md,20_Projects,pentagi,project,hold,"ai,security",self,自主渗透测试 Agent 系统研究仓,仅在合法靶场形成书面安全评估后再启用,2026-07-27,"github,inventory"
C:\my_know\20_Projects\python-adventure.md,20_Projects,python-adventure（Python 冒险岛 / game-google）,project,active,"game,teaching","student,teacher",Python 冒险岛（Next.js + Phaser + Pyodide），可玩可教学,v2.4.7 房间稳定 + 教学场景衔接,2026-07-27,"game,python,teaching"
C:\my_know\20_Projects\rf-detr.md,20_Projects,rf-detr,project,evaluate,"computer-vision,ai",self,实时目标检测、分割与关键点模型参考仓,用小型教学数据集跑通推理并记录硬件成本,2026-07-27,"github,inventory"
C:\my_know\20_Projects\scroll-world.md,20_Projects,scroll-world,project,active,"ai,web","brand,maker",把品牌做成可滚动 3D 世界的 Codex skill,接 senlin_c1n 个人站,2026-07-27,"ai,web,3d,scroll"
C:\my_know\20_Projects\senlin-kaifa.md,20_Projects,senlin-kaifa,project,active,"ai,teaching,web",self,乐启享 AI Classroom：从主题、提示词或 PDF 生成课堂内容,本地启动并补充功能、部署、课程使用证据,2026-07-27,"github,inventory"
C:\my_know\20_Projects\senlin_website.md,20_Projects,senlin_website（教学现场个人站）,project,active,web,"parent,teacher,student",教学现场个人站（课堂 / 作品 / 内容入口）,把站点首页升级为多入口 + 接直播入口,2026-07-27,"web,brand,site"
C:\my_know\20_Projects\steam-fun.md,20_Projects,steam-fun,project,active,"teaching,offline",self,课程业务流程的本地离线交付工作区,补齐对应课程、运行截图和课堂复盘证据,2026-07-27,"github,inventory"
C:\my_know\20_Projects\world_website.md,20_Projects,world_website（宇宙探索互动站）,project,active,"web,game","parent,teacher,student",宇宙探索 3D 交互站（互动教学 + 入口级 demo）,压缩启动资源 + 接入课件,2026-07-27,"web,3d,interactive"
C:\my_know\20_Projects\xuanxuan-prompts.md,20_Projects,xuanxuan-prompts,project,active,"ai,web","maker,dev",网页复刻提示词合集（丢给 Claude/Codex/Kimi 生成对应网站）,接入「抖音钩子」素材库,2026-07-27,"ai,prompt,resource"
C:\my_know\20_Projects\yichang_travel.md,20_Projects,yichang_travel（宜昌旅游站）,project,active,web,"parent,teacher,student",宜昌旅游轻量站点（Vite + three.js + maplibre-gl）,把宜昌长廊 + 博物馆文物交互补完,2026-07-27,"web,local,3d,tourism"
C:\my_know\20_Projects\index.md,20_Projects,项目总表,moc,active,projects,self,,,2026-07-27,"projects,moc"
C:\my_know\30_Teaching\adventure-game-3d.md,30_Teaching,3D 动作闯关 · 七天创客营,teaching,active,"teaching,game,3d",student,Ursina 3D 动作闯关游戏 · 七天创客营,,2026-07-27,"teaching,3d,ursina,game"
C:\my_know\30_Teaching\ai-classroom.md,30_Teaching,AI 互动课堂,teaching,active,"teaching,ai","student,parent,teacher",AI 互动课堂（提问 / 生成 / 研究）,,2026-07-27,"teaching,ai,interactive"
C:\my_know\30_Teaching\jrcode.md,30_Teaching,JrCode 编程进阶,teaching,active,teaching,student,JrCode 小学高年级到初一的「积木→Python」过渡,,2026-07-27,"teaching,jrcode,python"
C:\my_know\30_Teaching\python-game-course.md,30_Teaching,Python 冒险岛 · 课程配套,teaching,active,"teaching,game","student,teacher",Python 冒险岛（python-adventure）配套课程,,2026-07-27,"teaching,python,game"
C:\my_know\30_Teaching\weDo-programming.md,30_Teaching,WeDo 编程启蒙,teaching,active,teaching,"student,parent",WeDo 2.0 + ScratchJr 启蒙古程式，小低到小中,,2026-07-27,"teaching,lego,wedo"
C:\my_know\30_Teaching\_students-mirror.md,30_Teaching,学员个人站镜像索引,teaching,active,teaching,"teacher,self",学员个人站镜像索引（向敏 / 项民 / 杨涛等）,,2026-07-27,"teaching,students,portfolio"
C:\my_know\30_Teaching\index.md,30_Teaching,教学总表,moc,active,teaching,self,,,2026-07-27,"teaching,moc"
C:\my_know\40_Content\live-sop-six-round.md,40_Content,六轮直播 SOP（主战场）,content,active,content,"parent,teacher,student",,,2026-07-27,"content,douyin,live,sop"
C:\my_know\40_Content\index.md,40_Content,内容总表,moc,active,content,self,,,2026-07-27,"content,moc"
C:\my_know\40_Content\columns.md,40_Content,固定 3 个栏目,content,active,content,"parent,student,teacher,dev",,,2026-07-27,"content,column,douyin"
C:\my_know\40_Content\benchmarks.md,40_Content,对标账号池（愈见森林）,content,active,content,self,,,2026-07-27,"content,benchmark,douyin"
C:\my_know\40_Content\curerforest-channel.md,40_Content,愈见森林（抖音主账号）,content,active,content,"student,parent,teacher,dev",,,2026-07-27,"content,douyin,brand"
C:\my_know\40_Content\draft-2026-07-27.md,40_Content,抖音选题草稿 2026-07-27,douyin_topic,draft,content,self,,,2026-07-27,"douyin,draft"
C:\my_know\50_AI\index.md,50_AI,AI 与开发工具总表,moc,active,ai,self,,,2026-07-27,"ai,moc"
C:\my_know\50_AI\AI编程学习路线.md,50_AI,AI 编程学习路线,learning_path,active,"ai,development",self,,,2026-07-27,"ai,learning-path,vibe-coding"
C:\my_know\50_AI\claude-ai.md,50_AI,Claude.ai,ai_tool,active,"ai,writing,analysis",self,用于长文理解、结构化草稿和第二视角复核,用三类真实任务和 Codex 做同题对照评测,2026-07-27,"ai,claude,writing,analysis"
C:\my_know\50_AI\codex.md,50_AI,Codex,ai_tool,active,"ai,development,knowledge",self,当前主力 AI 协作工具，用于开发、知识整理、审计与自动化,固化项目启动、验证、复盘三类标准提示词,2026-07-27,"ai,codex,agent,development"
C:\my_know\50_AI\codex-browser.md,50_AI,Codex Browser,ai_tool,evaluate,"ai,research,browser",self,用于网页研究、在线核验和浏览器流程辅助的能力层,用仓库调研、竞品核验、资料采集三个任务建立 SOP,2026-07-27,"ai,browser,research,evaluate"
C:\my_know\50_AI\codex-computer-use.md,50_AI,Codex Computer Use,ai_tool,evaluate,"ai,automation,windows",self,用于操作 Windows 桌面应用和验证真实界面的能力层,固化 Obsidian、浏览器和教学软件三个低风险流程,2026-07-27,"ai,computer-use,windows,automation"
C:\my_know\50_AI\deepseek-api.md,50_AI,DeepSeek API,ai_tool,active,"ai,api,education",self,已用于 Python 冒险岛等项目的模型 API，承担结构化出题与后端能力,建立成本、稳定性、降级和内容安全基线,2026-07-27,"ai,deepseek,api,education"
C:\my_know\50_AI\intellij-idea.md,50_AI,IntelliJ IDEA 2026.1,development_tool,active,"development,ide,build",self,主力工程 IDE，用于项目打开、编译、运行、测试和调试,按具体项目确认 JDK、Maven 或 Gradle 配置,2026-07-27,"intellij,ide,build,debug"
C:\my_know\50_AI\vibe-hub.md,50_AI,VibeHub,ai_resource,active,"ai,learning,terminology","self,student",用大白话解释 Vibe Coding、前后端、Git、产品和设计术语的双语图解库,按个人真实项目选择术语并完成一组实作,2026-07-27,"ai,vibe-coding,learning,glossary"
C:\my_know\60_Assets\GitHub仓库总账.md,60_Assets,GitHub 仓库总账,inventory,active,"github,projects",self,,,2026-07-27,"github,inventory"
C:\my_know\60_Assets\_inventory.md,60_Assets,资产清单,inventory,active,assets,self,,,2026-07-27,inventory
C:\my_know\90_Archive\trea-cn.md,90_Archive,Trae CN（已归档）,ai_tool,archived,"ai,development",self,曾记录的 AI 编辑器候选，当前不进入主工具链,无；当前由 Codex + IntelliJ IDEA 覆盖,2026-07-27,"ai,ide,archived"
C:\my_know\00_Home\MOCs\ai_tools.md,MOCs,AI 与开发工具地图,moc,active,ai,self,,,2026-07-27,"moc,ai"
C:\my_know\00_Home\MOCs\content.md,MOCs,内容总表,moc,active,content,self,,,2026-07-27,
C:\my_know\00_Home\MOCs\teaching.md,MOCs,教学总表,moc,active,teaching,self,,,2026-07-27,
C:\my_know\00_Home\MOCs\projects.md,MOCs,项目总表,moc,active,projects,self,,,2026-07-27,
C:\my_know\00_Home\_templates\ai_tool.md,_templates,<工具名>,ai_tool,trial,ai,,,,2026-07-27,
C:\my_know\00_Home\_templates\content.md,_templates,<视频 / 文章 / 直播 题目>,content,draft,content,,,,2026-07-27,
C:\my_know\00_Home\_templates\teaching.md,_templates,<课程名>,teaching,draft,teaching,student,,,2026-07-27,
C:\my_know\00_Home\_templates\project.md,_templates,<项目名>,project,active,,,,,2026-07-27,
C:\my_know\00_Home\_templates\code_review.md,_templates,代码审查清单,template,active,"project,code-review",self,,,2026-07-27,"code-review,checklist"
C:\my_know\00_Home\_templates\douyin_topic.md,_templates,抖音选题卡,template,active,content,self,,,2026-07-27,"content,douyin,topic"
C:\my_know\00_Home\_templates\weekly_review.md,_templates,每周复盘模板,template,active,review,self,,,2026-07-27,"review,weekly"
C:\my_know\00_Home\_templates\live_script.md,_templates,直播话术模板,template,active,content,self,,,2026-07-27,"content,live,script"
C:\my_know\00_Home\_templates\course_plan.md,_templates,课程计划模板,template,active,teaching,"self,teacher",,,2026-07-27,"teaching,lesson-plan"
C:\my_know\00_Home\_templates\project_brief.md,_templates,项目启动卡,template,active,project,self,,,2026-07-27,"project,brief"
C:\my_know\README.md,my_know,森林个人知识库,,,,,,,,
C:\my_know\CONTRIBUTING.md,my_know,知识库参考与复用指南,,,,,,,,
C:\my_know\50_AI\_skills\website-knowledge-crawler\references\safety.md,references,Crawling Safety,,,,,,,,
C:\my_know\50_AI\_skills\website-knowledge-crawler\SKILL.md,website-knowledge-crawler,Website Knowledge Crawler,,,,,,,,
